id,city,manufacturer,car_model,year,hand,engine_size,kilometers,price,updated_at,date_added,prices,dateCreated
kkc04vmr,נתיבות,kia,נירו הייבריד,2020,יד ראשונה,1580,"66,361","120,000 ₪",עודכן ב 25/09/2023,2023-09-20 19:09:45,"[{'price': 120000, 'date': '2023-09-20T16:22:21.533Z'}]",2023-09-20T16:22:21.533Z
16p1hbi2,חיפה,kia,נירו הייבריד,2020,יד ראשונה,1580,"70,000","112,500 ₪",עודכן ב 25/09/2023,2023-09-12 08:58:57,"[{'price': 112500, 'date': '2023-09-12T09:27:04.148Z'}]",2023-09-12T09:27:04.148Z
1iyar61y,קרית מוצקין,kia,נירו הייבריד,2021,יד ראשונה,1580,"38,000","135,000 ₪",עודכן ב 25/09/2023,2023-09-22 10:58:56,"[{'price': 135000, 'date': '2023-09-22T07:59:18.728Z'}]",2023-09-22T07:59:18.728Z
gl6sa2ic,כרמי יוסף,kia,נירו PHEV,2020,יד ראשונה,1580,"54,000","122,000 ₪",עודכן ב 25/09/2023,2023-09-25 18:20:57,"[{'price': 122000, 'date': '2023-09-25T15:22:33.023Z'}]",2023-09-25T15:22:33.023Z
4bqega1e,עכו,kia,נירו PHEV,2022,יד ראשונה,1580,"35,000","142,000 ₪",עודכן ב 25/09/2023,2023-09-23 10:25:26,"[{'price': 142000, 'date': '2023-09-23T07:27:27.832Z'}]",2023-09-23T07:27:27.832Z
q7m6tyxq,אשדוד,kia,נירו PHEV,2021,יד שניה,1580,"39,000","135,000 ₪",עודכן ב 25/09/2023,2023-09-18 14:11:08,"[{'price': 135000, 'date': '2023-09-25T07:25:12.738Z'}, {'price': 137000, 'date': '2023-09-21T06:13:34.934Z'}, {'price': 138000, 'date': '2023-09-19T07:28:50.651Z'}, {'price': 140000, 'date': '2023-09-18T11:12:11.462Z'}]",2023-09-18T11:12:11.462Z
385wr5vi,חיפה,kia,נירו הייבריד,2020,יד ראשונה,1580,"51,000","123,000 ₪",עודכן ב 24/09/2023,2023-09-08 11:46:32,"[{'price': 123000, 'date': '2023-09-08T12:19:59.024Z'}]",2023-09-08T12:19:59.024Z
c7mab448,אשדוד,kia,נירו PHEV,2022,יד ראשונה,1580,"20,000","144,000 ₪",עודכן ב 24/09/2023,2023-09-18 08:58:18,"[{'price': 144000, 'date': '2023-09-24T07:11:13.699Z'}, {'price': 145000, 'date': '2023-09-21T15:50:50.622Z'}, {'price': 146000, 'date': '2023-09-19T18:32:12.314Z'}, {'price': 148000, 'date': '2023-09-18T15:49:42.099Z'}, {'price': 150000, 'date': '2023-09-18T06:00:29.860Z'}]",2023-09-18T06:00:29.860Z
c6zvtth6,הרצליה,kia,נירו הייבריד,2020,יד ראשונה,1580,"44,870","124,000 ₪",עודכן ב 23/09/2023,2023-09-17 20:28:05,"[{'price': 124000, 'date': '2023-09-17T17:29:20.326Z'}]",2023-09-17T17:29:20.326Z
wtvk9nhv,עזריאל,kia,נירו PHEV,2020,יד ראשונה,1580,"62,000","122,000 ₪",עודכן ב 23/09/2023,2023-09-14 09:23:31,"[{'price': 122000, 'date': '2023-09-19T17:13:42.614Z'}, {'price': 127000, 'date': '2023-09-18T06:46:56.474Z'}, {'price': 128000, 'date': '2023-09-14T06:24:07.777Z'}]",2023-09-14T06:24:07.777Z
