id,city,manufacturer,car_model,year,hand,engine_size,kilometers,price,updated_at,date_added,prices,dateCreated
3308897s,אורנית,kia,נירו הייבריד,2021,יד שניה,1580,"55,000","118,560 ₪",עודכן היום,2023-08-04 09:38:57,"[{'price': 118560, 'date': '2023-08-09T07:16:35.399Z'}, {'price': 126500, 'date': '2023-08-04T06:40:18.176Z'}]",2023-08-04T06:40:18.176Z
c4xfowdm,מודיעין מכבים רעות,kia,נירו הייבריד,2021,יד ראשונה,1580,"56,000","122,000 ₪",עודכן היום,2023-08-14 16:03:16,"[{'price': 122000, 'date': '2023-08-15T07:21:18.451Z'}, {'price': 124000, 'date': '2023-08-14T13:04:06.839Z'}]",2023-08-14T13:04:06.839Z
w104mgt6,באר שבע,kia,נירו הייבריד,2021,יד שניה,1580,"56,000","124,000 ₪",עודכן היום,2023-08-14 11:54:37,"[{'price': 124000, 'date': '2023-08-14T08:57:39.961Z'}]",2023-08-14T08:57:39.961Z
z11nnbm3,תל אביב יפו,kia,נירו הייבריד,2020,יד ראשונה,1580,"25,500","116,000 ₪",עודכן היום,2023-08-14 16:02:23,"[{'price': 116000, 'date': '2023-08-14T13:02:53.648Z'}]",2023-08-14T13:02:53.648Z
rga1nszl,ביתר עילית,kia,נירו PHEV,2021,יד שניה,1580,"48,500","132,000 ₪",עודכן היום,2023-08-08 13:31:50,"[{'price': 132000, 'date': '2023-08-13T19:05:04.164Z'}, {'price': 133000, 'date': '2023-08-10T09:20:36.822Z'}, {'price': 135000, 'date': '2023-08-08T10:33:49.097Z'}]",2023-08-08T10:33:49.097Z
zlnlg1hp,חיפה,kia,נירו PHEV,2021,יד ראשונה,1580,"57,000","128,500 ₪",עודכן ב 14/08/2023,2023-08-11 19:52:38,"[{'price': 128500, 'date': '2023-08-11T18:55:37.759Z'}]",2023-08-11T18:55:37.759Z
m0szaoyk,חריש,kia,נירו הייבריד,2020,יד ראשונה,1580,"37,000","117,000 ₪",עודכן ב 14/08/2023,2023-08-14 19:55:12,"[{'price': 117000, 'date': '2023-08-14T16:58:11.425Z'}]",2023-08-14T16:58:11.425Z
mi6ppfnc,עפולה,kia,נירו PHEV,2020,יד שניה,1580,"58,726","117,000 ₪",עודכן ב 14/08/2023,2023-08-03 21:36:13,"[{'price': 117000, 'date': '2023-08-13T16:45:46.616Z'}, {'price': 120000, 'date': '2023-08-04T10:30:20.056Z'}, {'price': None, 'date': '2023-08-03T18:38:06.223Z'}]",2023-08-03T18:38:06.223Z
vj42hdrp,ירושלים,kia,נירו PHEV,2021,יד ראשונה,1580,"36,000","125,600 ₪",עודכן ב 13/08/2023,2023-08-06 17:16:27,"[{'price': 125600, 'date': '2023-08-06T14:17:23.829Z'}]",2023-08-06T14:17:23.829Z
7ej3uqmk,ראש העין,kia,נירו הייבריד,2021,יד ראשונה,1580,"44,000","124,900 ₪",עודכן ב 13/08/2023,2023-08-13 15:06:32,"[{'price': 124900, 'date': '2023-08-13T12:07:49.653Z'}]",2023-08-13T12:07:49.653Z
bx3o861n,בני ברק,kia,נירו PHEV,2021,יד שניה,1580,"54,000","130,000 ₪",עודכן ב 12/08/2023,2023-06-09 17:30:47,"[{'price': 130000, 'date': '2023-07-31T07:13:19.524Z'}, {'price': 132000, 'date': '2023-06-09T14:31:46.226Z'}]",2023-06-09T14:31:46.226Z
cahg5ad5,כוכב מיכאל,kia,נירו PHEV,2020,יד ראשונה,1580,"33,849","133,620 ₪",עודכן ב 11/08/2023,2023-07-02 11:21:34,"[{'price': 133620, 'date': '2023-08-11T14:15:57.156Z'}, {'price': 135800, 'date': '2023-07-19T18:40:26.732Z'}, {'price': 145170, 'date': '2023-07-03T04:41:49.636Z'}, {'price': 161300, 'date': '2023-07-02T08:49:00.309Z'}]",2023-07-02T08:49:00.309Z
ayty77vp,משמר איילון,kia,נירו הייבריד,2021,יד ראשונה,1580,"57,800","123,000 ₪",עודכן ב 11/08/2023,2023-08-09 11:59:15,"[{'price': 123000, 'date': '2023-08-11T13:59:03.425Z'}, {'price': 120000, 'date': '2023-08-10T12:23:39.649Z'}, {'price': 130000, 'date': '2023-08-09T09:01:39.967Z'}]",2023-08-09T09:01:39.967Z
iviv2pm5,נתניה,kia,נירו הייבריד,2020,יד שניה,1580,"50,000","115,000 ₪",עודכן ב 08/08/2023,2023-06-09 16:05:31,"[{'price': 115000, 'date': '2023-06-09T13:06:28.957Z'}]",2023-06-09T13:06:28.957Z
wyzpnvkq,נווה מבטח,kia,נירו הייבריד,2021,יד ראשונה,1580,"58,000","125,000 ₪",עודכן ב 31/07/2023,2023-07-30 20:49:11,"[{'price': 125000, 'date': '2023-07-31T09:00:14.139Z'}]",2023-07-31T09:00:14.139Z
qj9fffly,ירושלים,kia,נירו הייבריד,2021,יד ראשונה,1580,"48,000","123,000 ₪",עודכן ב 30/07/2023,2023-07-28 15:04:44,"[{'price': 123000, 'date': '2023-07-30T08:14:03.143Z'}, {'price': None, 'date': '2023-07-29T05:17:03.085Z'}]",2023-07-29T05:17:03.085Z
jfntvdyq,באר יעקב,kia,נירו הייבריד,2020,יד ראשונה,1580,"46,600","120,000 ₪",עודכן ב 25/07/2023,2023-07-19 10:28:34,"[{'price': 120000, 'date': '2023-07-25T10:47:55.584Z'}, {'price': 122000, 'date': '2023-07-19T07:29:30.688Z'}]",2023-07-19T07:29:30.688Z
fcs1dhuu,תל אביב יפו,kia,נירו PHEV,2021,יד ראשונה,1580,"43,500","129,000 ₪",עודכן ב 19/07/2023,2023-06-23 12:11:16,"[{'price': 129000, 'date': '2023-07-04T10:36:09.066Z'}, {'price': 130000, 'date': '2023-06-23T09:14:15.676Z'}]",2023-06-23T09:14:15.676Z
