id,city,manufacturer,car_model,year,hand,engine_size,kilometers,price,updated_at,date_added,prices,dateCreated
7jpdf525,צור הדסה,toyota,C-HR,2018,יד ראשונה,1798,"85,000","98,000 ₪",עודכן היום,2023-09-21 18:56:41,"[{'price': 98000, 'date': '2023-09-21T16:27:20.155Z'}]",2023-09-21T16:27:20.155Z
ectoglga,כפר סבא,toyota,C-HR,2021,יד שניה,1798,"45,300","127,000 ₪",עודכן היום,2023-09-11 22:00:04,"[{'price': 127000, 'date': '2023-09-12T06:07:15.786Z'}]",2023-09-12T06:07:15.786Z
gs9admxj,עראבה,toyota,C-HR,2017,יד ראשונה,1798,"110,000","98,000 ₪",עודכן היום,2023-09-10 12:26:34,"[{'price': 98000, 'date': '2023-09-10T09:30:57.535Z'}]",2023-09-10T09:30:57.535Z
xid5wepg,חיפה,toyota,C-HR,2017,יד שניה,1798,"62,000","98,000 ₪",עודכן היום,2023-07-16 11:51:33,"[{'price': 98000, 'date': '2023-08-16T12:33:36.195Z'}, {'price': None, 'date': '2023-07-16T08:54:20.506Z'}]",2023-07-16T08:54:20.506Z
nktlp4h0,מיתר / כרמית,toyota,C-HR,2017,יד שניה,1798,"95,000","93,540 ₪",עודכן היום,2023-08-12 21:43:33,"[{'price': 93540, 'date': '2023-09-18T10:29:04.542Z'}, {'price': 92000, 'date': '2023-08-31T16:31:05.851Z'}, {'price': 98750, 'date': '2023-08-29T06:20:58.629Z'}, {'price': 93750, 'date': '2023-08-24T22:10:50.792Z'}, {'price': 95000, 'date': '2023-08-16T11:21:47.427Z'}, {'price': 96500, 'date': '2023-08-13T08:31:07.559Z'}]",2023-08-13T08:31:07.559Z
iv8z6dat,כרמיאל,toyota,C-HR,2019,יד ראשונה,1798,"60,000","112,000 ₪",עודכן ב 25/09/2023,2023-09-21 17:44:01,"[{'price': 112000, 'date': '2023-09-21T14:48:32.803Z'}]",2023-09-21T14:48:32.803Z
rpbwon3x,חדרה,toyota,C-HR,2019,יד שניה,1798,"69,000","112,000 ₪",עודכן ב 25/09/2023,2023-09-05 17:42:37,"[{'price': 112000, 'date': '2023-09-20T13:21:59.765Z'}, {'price': 115000, 'date': '2023-09-10T13:16:57.423Z'}, {'price': 117000, 'date': '2023-09-05T14:44:13.800Z'}]",2023-09-05T14:44:13.800Z
k7wmhpo3,רחובות,toyota,C-HR,2018,יד ראשונה,1798,"100,000","106,000 ₪",עודכן ב 25/09/2023,2023-08-11 10:47:32,"[{'price': 106000, 'date': '2023-09-04T14:20:45.566Z'}, {'price': 108000, 'date': '2023-08-11T07:51:00.154Z'}]",2023-08-11T07:51:00.154Z
5nmvxjbm,חורפיש,toyota,C-HR,2017,יד שניה,1798,"180,000","90,000 ₪",עודכן ב 25/09/2023,2023-09-12 16:11:56,"[{'price': 90000, 'date': '2023-09-12T13:14:26.045Z'}]",2023-09-12T13:14:26.045Z
vu97oyu3,טירה,toyota,C-HR,2017,יד ראשונה,1197,"63,400","85,000 ₪",עודכן ב 25/09/2023,2023-09-08 15:57:20,"[{'price': 85000, 'date': '2023-09-08T13:08:29.296Z'}]",2023-09-08T13:08:29.296Z
lz1wcdyc,באר שבע,toyota,C-HR,2017,יד ראשונה,1197,"99,040","95,000 ₪",עודכן ב 25/09/2023,2023-09-05 12:52:10,"[{'price': 95000, 'date': '2023-09-12T17:10:32.179Z'}, {'price': 800000, 'date': '2023-09-07T12:11:04.670Z'}, {'price': 900000, 'date': '2023-09-05T09:54:23.537Z'}]",2023-09-05T09:54:23.537Z
l8thomq1,קרית שמונה,toyota,C-HR,2022,יד ראשונה,1798,"8,000","136,000 ₪",עודכן היום,2023-09-23 22:50:12,"[{'price': 136000, 'date': '2023-09-23T19:51:41.660Z'}]",2023-09-23T19:51:41.660Z
0r645cq6,עראבה,toyota,C-HR,2018,יד שניה,1798,"150,000","95,000 ₪",עודכן היום,2023-09-25 19:17:43,"[{'price': 95000, 'date': '2023-09-25T21:05:32.937Z'}]",2023-09-25T21:05:32.937Z
ewxrbq2f,שדרות,toyota,C-HR,2017,יד שלישית,1798,"99,000","93,000 ₪",עודכן היום,2023-08-19 13:17:19,"[{'price': 93000, 'date': '2023-09-14T07:11:52.765Z'}, {'price': 95000, 'date': '2023-08-22T15:09:16.444Z'}, {'price': 96000, 'date': '2023-08-20T05:38:21.183Z'}, {'price': 97000, 'date': '2023-08-19T10:18:43.231Z'}]",2023-08-19T10:18:43.231Z
l9c92cmj,שלומי,toyota,C-HR,2019,יד שניה,1798,"107,500","100,000 ₪",עודכן היום,2023-06-12 22:15:53,"[{'price': 100000, 'date': '2023-07-18T16:25:37.411Z'}, {'price': 96000, 'date': '2023-07-13T15:36:36.694Z'}, {'price': 98000, 'date': '2023-07-10T08:10:56.147Z'}, {'price': 100000, 'date': '2023-07-07T15:54:00.326Z'}, {'price': 102000, 'date': '2023-06-29T05:35:42.807Z'}, {'price': 104000, 'date': '2023-06-26T11:04:17.288Z'}, {'price': 106000, 'date': '2023-06-14T05:49:40.950Z'}, {'price': 110000, 'date': '2023-06-12T19:32:57.709Z'}]",2023-06-12T19:32:57.709Z
yw4ur4vf,כפר חנניה,toyota,C-HR,2018,יד שניה,1798,"60,000","100,000 ₪",עודכן ב 25/09/2023,2023-09-10 12:45:47,"[{'price': 100000, 'date': '2023-09-10T10:41:40.762Z'}, {'price': 7000, 'date': '2023-09-10T09:46:54.401Z'}]",2023-09-10T09:46:54.401Z
mgv4n3r3,קרית ביאליק,toyota,C-HR,2018,יד שניה,1798,"52,000","119,000 ₪",עודכן ב 25/09/2023,2023-09-25 23:47:13,"[{'price': 119000, 'date': '2023-09-25T20:49:29.412Z'}]",2023-09-25T20:49:29.412Z
ma1arrvr,כרמיאל,toyota,C-HR,2017,יד שניה,1798,"30,000","102,000 ₪",עודכן ב 25/09/2023,2023-09-18 12:10:43,"[{'price': 102000, 'date': '2023-09-18T09:11:58.364Z'}]",2023-09-18T09:11:58.364Z
ylcpiclk,"בני עי""ש",toyota,C-HR,2018,יד ראשונה,1798,"105,000","110,000 ₪",עודכן ב 25/09/2023,2023-09-22 19:52:34,"[{'price': 110000, 'date': '2023-09-22T16:54:55.521Z'}]",2023-09-22T16:54:55.521Z
u419gsir,רמלה,toyota,C-HR,2018,יד שניה,1798,"75,000","94,000 ₪",עודכן ב 25/09/2023,2023-02-01 15:10:57,"[{'price': 94000, 'date': '2023-09-12T05:42:16.790Z'}, {'price': 98000, 'date': '2023-09-10T16:58:29.547Z'}, {'price': 99990, 'date': '2023-08-15T17:36:13.178Z'}, {'price': 100500, 'date': '2023-08-04T14:02:43.035Z'}, {'price': 101000, 'date': '2023-06-20T06:29:04.192Z'}, {'price': 103000, 'date': '2023-06-07T11:35:57.393Z'}, {'price': 108000, 'date': '2023-05-31T12:56:35.004Z'}, {'price': 109000, 'date': '2023-05-23T06:41:47.346Z'}, {'price': 110000, 'date': '2023-05-10T10:03:55.057Z'}, {'price': 113000, 'date': '2023-05-06T13:57:35.422Z'}, {'price': 115000, 'date': '2023-05-01T09:30:49.249Z'}, {'price': None, 'date': '2023-04-19T15:16:04.473Z'}, {'price': 117000, 'date': '2023-04-09T10:21:07.776Z'}, {'price': None, 'date': '2023-04-06T19:55:23.850Z'}, {'price': 117000, 'date': '2023-03-26T14:05:20.234Z'}, {'price': None, 'date': '2023-03-19T16:07:11.709Z'}, {'price': 117000, 'date': '2023-03-16T10:04:47.193Z'}, {'price': 118000, 'date': '2023-02-14T09:52:01.094Z'}, {'price': 120000, 'date': '2023-02-07T09:19:19.676Z'}, {'price': 125000, 'date': '2023-02-01T13:18:59.168Z'}]",2023-02-01T13:18:59.168Z
bpuzh81b,שדרות,toyota,C-HR,2017,יד שניה,1798,"155,000","88,000 ₪",עודכן ב 25/09/2023,2023-09-08 15:35:26,"[{'price': 88000, 'date': '2023-09-15T03:25:33.421Z'}, {'price': 90000, 'date': '2023-09-08T12:37:29.234Z'}]",2023-09-08T12:37:29.234Z
i7h03p5k,ירושלים,toyota,C-HR,2017,יד ראשונה,1798,"35,000","96,000 ₪",עודכן ב 25/09/2023,2023-08-30 17:55:20,"[{'price': 96000, 'date': '2023-08-30T14:57:02.084Z'}]",2023-08-30T14:57:02.084Z
0i5q7est,חדרה,toyota,C-HR,2019,יד שניה,1798,"87,000","110,000 ₪",עודכן ב 25/09/2023,2023-09-18 09:41:12,"[{'price': 110000, 'date': '2023-09-18T06:42:23.067Z'}]",2023-09-18T06:42:23.067Z
fc3cugfd,רמת גן,toyota,C-HR,2020,יד שניה,1798,"34,000","150,000 ₪",עודכן ב 25/09/2023,2023-09-25 21:25:19,"[{'price': 150000, 'date': '2023-09-25T21:18:54.731Z'}]",2023-09-25T21:18:54.731Z
k6eiqo3w,ירושלים,toyota,C-HR,2018,יד ראשונה,1798,"42,300","128,000 ₪",עודכן ב 25/09/2023,2023-09-20 19:35:32,"[{'price': 128000, 'date': '2023-09-20T16:37:07.763Z'}]",2023-09-20T16:37:07.763Z
ed2q0coh,נשר,toyota,C-HR,2018,יד שניה,1798,"115,000","92,000 ₪",עודכן ב 25/09/2023,2023-03-10 16:46:55,"[{'price': 92000, 'date': '2023-09-25T18:26:10.848Z'}, {'price': 95000, 'date': '2023-08-16T14:41:15.589Z'}, {'price': 98000, 'date': '2023-06-11T14:37:01.819Z'}, {'price': 99000, 'date': '2023-06-02T10:46:18.614Z'}, {'price': 100000, 'date': '2023-04-19T04:32:08.815Z'}, {'price': 105000, 'date': '2023-04-02T19:06:37.288Z'}, {'price': 107000, 'date': '2023-03-24T12:12:32.611Z'}, {'price': 108000, 'date': '2023-03-23T20:11:47.193Z'}, {'price': 109000, 'date': '2023-03-16T14:20:30.391Z'}, {'price': 110000, 'date': '2023-03-10T14:56:24.801Z'}]",2023-03-10T14:56:24.801Z
yd3io9nd,בת ים,toyota,C-HR,2020,יד ראשונה,1798,"38,000","132,000 ₪",עודכן ב 25/09/2023,2023-09-18 21:33:41,"[{'price': 132000, 'date': '2023-09-18T18:34:32.893Z'}]",2023-09-18T18:34:32.893Z
i7il7nht,טבריה,toyota,C-HR,2017,יד ראשונה,1798,"107,000","99,500 ₪",עודכן ב 25/09/2023,2023-07-11 19:19:09,"[{'price': 99500, 'date': '2023-08-24T12:28:51.387Z'}, {'price': 105000, 'date': '2023-07-11T16:20:56.801Z'}]",2023-07-11T16:20:56.801Z
