manufacturer,model,year,km,transmission,color,price,license_plate,gov_manufacturer,gov_tokef_dt,gov_last_test_dt,gov_baalut,zmig_kidmi,zmig_ahori
וולבו,XC40P6 ULTIMATE חשמלי,2022,33920,אוטומטי,כסף,180900,72360602,וולבו בלגיה,2025-11-06,2024-10-15,ליסינג,235/50R19,255/45R19
לקסוס,TAKOMI 2.0 UX250H,2023,56331,אוטומטי,לבן,176900,38233103,לקסוס יפן,2026-01-11,2024-12-24,ליסינג,215/60R17,215/60R17
צ'רי,TIGGO 8 NOBEL PRO 1.6,2024,16796,,שחור מטלי,156900,11342004,צ'רי סין,2026-10-05,2024-10-06,ליסינג,235/55R18,235/55R18
סקודה,איניאק LOUNGE חשמלי,2023,57200,אוטומטי,אפור,152900,49303903,סקודה צ'כיה,2026-05-20,2025-05-07,ליסינג,235/55 R19,255/50 R19
קיה,סורנטו URBAN 2.5,2023,75757,אוטומטי,לבן,149900,54774403,קיה קוריאה,2026-08-12,2025-07-03,ליסינג,235/60R18,235/60R18
מיצובישי,L200 INSTYLE 2.2 סולר תא כפול אוט',2022,33918,אוטומטי,לבן,146900,76392202,מיצובישי תאילנ,2026-02-07,2025-01-26,ליסינג,245/70R16 RF,245/70R16 RF
יונדאי,טוסון LUXURY 1.6,2023,26627,אוטומטי,שחור,145900,19550903,יונדאי צ'כיה,2025-12-31,2024-12-05,ליסינג,235/55R18,235/55R18
יונדאי,סונטה LIMITED 2.0 היברידי,2023,79895,אוטומטי,אפור מטלי,144900,25202103,יונדאי קוריאה,2026-01-08,2024-12-19,ליסינג,215/55R17,215/55R17
קיה,נירו LX 1.6 היברידי,2024,59931,,שחור,144900,84661503,קיה קוריאה,2026-09-23,2024-09-24,ליסינג,205/60R16,205/60R16
יונדאי,טוסון LUXURY 1.6,2022,43121,אוטומטי,לבן,142900,11477603,יונדאי צ'כיה,2026-06-07,2025-05-21,ליסינג,235/55R18,235/55R18
מיצובישי,אאוטלנדר PREMIUM 2.5,2023,118993,אוטומטי,כחול,141900,25431403,מיצובישי יפן,2026-02-19,2025-03-19,ליסינג,P255/45R20,P255/45R20
קיה,ספורטאז' URBAN 1.6,2024,78691,אוטומטי,כסף,141900,84537203,קיה סלובקיה,2026-09-08,2024-09-09,ליסינג,215/65R17,215/65R17
מיצובישי,אאוטלנדר PREMIUM 2.5,2023,102282,אוטומטי,אדום,140900,25477803,מיצובישי יפן,2026-01-23,2024-12-10,ליסינג,P255/45R20,P255/45R20
מיצובישי,אאוטלנדר INSTYLE 2.5,2023,103194,אוטומטי,לבן,139900,25431703,מיצובישי יפן,2026-01-18,2024-12-22,ליסינג,P255/45R20,P255/45R20
יונדאי,טוסון LUXURY 1.6,2023,86172,אוטומטי,אפור,137900,19591503,יונדאי צ'כיה,2025-12-31,2024-11-25,ליסינג,235/55R18,235/55R18
קיה,סורנטו EX 2.5,2022,132188,אוטומטי,אפור בהיר,137900,81896002,קיה קוריאה,2026-02-28,2025-02-13,ליסינג,235/60R18,235/60R18
יונדאי,טוסון ELITE 1.6,2022,73663,אוטומטי,לבן,136900,11172103,יונדאי צ'כיה,2026-05-31,2025-05-14,ליסינג,235/50R19,235/50R19
מיצובישי,אאוטלנדר PREMIUM 2.5,2022,109615,אוטומטי,כסף מטלי,133900,16669903,מיצובישי יפן,2026-10-30,2025-09-04,ליסינג,P255/45R20,P255/45R20
סיאט,אטקה STYLE 1.5,2024,85132,אוטומטי,לבן,131900,72120603,סיאט צ'כיה,2026-02-18,2024-02-19,ליסינג,215/55 R17,215/55 R17
סקודה,אוקטביה AMBITION 1.5,2024,20068,אוטומטי,אפור כהה,131900,76979603,סקודה צ'כיה,2026-06-16,2024-06-17,ליסינג,205/55 R17,205/55 R17
סקודה,סופרב AMBITION FL 2.0,2023,72448,אוטומטי,לבן,130900,58706103,סקודה צ'כיה,2025-10-29,2023-10-30,ליסינג,215/55 R17,215/55 R17
סקודה,סופרב AMBITION FL 2.0,2023,81970,אוטומטי,לבן,130900,58706003,סקודה צ'כיה,2025-10-29,2023-10-30,ליסינג,215/55 R17,215/55 R17
יונדאי,סונטה PRESTIGE 2.0 היברידי,2023,79922,אוטומטי,אפור מטלי כהה,127900,25204903,יונדאי קוריאה,2026-01-08,2024-12-06,ליסינג,215/55R17,215/55R17
טויוטה,קורולה SUN 1.8 היברידי,2024,28470,אוטומטי,לבן,125900,66907803,טויוטה טורקיה,2026-01-01,2024-01-02,ליסינג,205/55R16,205/55R16
יונדאי,טוסון ELITE 1.6,2022,79875,אוטומטי,לבן,125900,89637102,יונדאי צ'כיה,2026-05-22,2025-05-08,ליסינג,235/50R19,235/50R19
יונדאי,טוסון PRESTIGE 1.6,2023,98107,אוטומטי,אפור,124900,54113603,יונדאי צ'כיה,2026-11-05,2025-10-20,ליסינג,215/65R17,215/65R17
סקודה,קודיאק AMBITION FL 1.5,2023,128800,אוטומטי,אפור,124900,40306103,סקודה צ'כיה,2026-02-11,2025-02-06,ליסינג,215/65 R17,215/65 R17
צ'רי,TIGGO 8 NOBEL PRO 1.6,2023,88415,אוטומטי,שחור מטלי,124900,33060503,צ'רי סין,2026-02-15,2025-02-09,ליסינג,235/55R18,235/55R18
צ'רי,TIGGO 8 NOBEL PRO 1.6,2023,96955,אוטומטי,אפור מטלי,124900,33062003,צ'רי סין,2026-02-25,2025-01-27,ליסינג,235/55R18,235/55R18
יונדאי,טוסון PRESTIGE 1.6,2023,67558,אוטומטי,אפור,123900,19700903,יונדאי צ'כיה,2026-01-01,2024-12-11,ליסינג,215/65R17,215/65R17
יונדאי,סונטה PRESTIGE 2.0 היברידי,2022,79004,אוטומטי,אפור מטלי,123900,63286602,יונדאי קוריאה,2026-01-14,2025-01-08,ליסינג,215/55R17,215/55R17
מזדה,CX-5 EXECUTIVE 2.0,2023,80600,אוטומטי,לבן ארקטי,123900,39513303,מזדה יפן,2026-01-02,2024-11-24,ליסינג,225/55R19,225/55R19
קיה,ספורטאז' URBAN 2.0,2022,38060,אוטומטי,אפור כהה,123900,27227603,קיה סלובקיה,2026-11-19,2025-11-17,ליסינג,215/65R17,215/65R17
מזדה,CX-5 EXECUTIVE 2.0,2022,69696,אוטומטי,לבן,121900,15541903,מזדה יפן,2026-06-28,2025-06-26,ליסינג,225/55R19,225/55R19
סקודה,אוקטביה AMBITION 1.5,2024,78649,אוטומטי,לבן,121900,64014703,סקודה צ'כיה,2026-03-25,2024-03-26,ליסינג,205/55 R17,205/55 R17
קיה,ספורטאז' URBAN TOP 1.6,2022,76930,אוטומטי,שחור,121900,26729703,קיה סלובקיה,2026-09-27,2025-08-25,ליסינג,215/65R17,215/65R17
קיה,ספורטאז' URBAN TOP 1.6,2022,84813,אוטומטי,כסף,121900,17567403,קיה סלובקיה,2026-08-31,2025-07-28,ליסינג,215/65R17,215/65R17
