scrape_timestamp,manufacturer,model,year,km,transmission,color,price_previous,price,price_change,status
2025-11-21 07:13:29.144053+00:00,GEELY,GEOMETRY C 460 חשמלי,2022,84630,אוטומטי,לבן,96900,93900,-3000,price_changed
2025-11-24 05:15:58.589112+00:00,יונדאי,אקסנט INSPIRE 1.6,2023,84198,אוטומטי,לבן,79900,75900,-4000,price_changed
2025-11-24 05:15:58.589112+00:00,יונדאי,אקסנט INSPIRE 1.6,2022,130905,אוטומטי,שחור,62900,58900,-4000,price_changed
2025-11-24 05:15:58.589112+00:00,מזדה,CX-5 COMFORT 2.0,2023,98370,אוטומטי,לבן,125900,117900,-8000,price_changed
2025-11-24 05:15:58.589112+00:00,מזדה,CX-5 EXECUTIVE 2.0,2023,80502,אוטומטי,לבן ארקטי,136900,127900,-9000,price_changed
2025-11-24 05:15:58.589112+00:00,מזדה,CX-5 EXECUTIVE 2.0,2022,103535,אוטומטי,שחור,120900,113900,-7000,price_changed
2025-11-24 05:15:58.589112+00:00,מזדה,CX-5 EXECUTIVE 2.0,2022,69696,אוטומטי,לבן,126900,121900,-5000,price_changed
2025-11-24 05:15:58.589112+00:00,מזדה,CX-5 EXECUTIVE 2.0,2022,94586,אוטומטי,שחור,124900,116900,-8000,price_changed
2025-11-24 05:15:58.589112+00:00,קיה,ספורטאז' URBAN 1.6,2022,158013,אוטומטי,כסף,61900,66900,5000,price_changed
2025-11-25 06:47:49.653354+00:00,יונדאי,איוניק 5 SUPREME חשמלי,2022,61912,אוטומטי,שחור,118900,121900,3000,price_changed
2025-11-25 06:47:49.653354+00:00,פורד,פוקוס TITANIUM 1.0,2023,91573,אוטומטי,לבן,90900,88900,-2000,price_changed
2025-11-25 06:47:49.653354+00:00,קיה,נירו פלוס LX 1.6 פלאג- אין,2022,37686,אוטומטי,שחור,118900,113900,-5000,price_changed
2025-11-25 06:47:49.653354+00:00,קיה,סלטוס URBAN 2.0,2022,91678,אוטומטי,אפור,91900,88900,-3000,price_changed
2025-11-27 11:56:26.901851+00:00,BYD,ATTO3 COMFORT חשמלי,2024,35550,,אפור כהה,121900,119900,-2000,price_changed
2025-11-27 11:56:26.901851+00:00,GEELY,GEOMETRY C 460 חשמלי,2022,106805,אוטומטי,לבן,89900,83900,-6000,price_changed
2025-11-27 11:56:26.901851+00:00,GEELY,GEOMETRY C 460 חשמלי,2022,33901,אוטומטי,לבן,102900,99900,-3000,price_changed
2025-11-27 11:56:26.901851+00:00,GEELY,GEOMETRY C 460 חשמלי,2022,39080,אוטומטי,לבן,103900,99900,-4000,price_changed
2025-11-27 11:56:26.901851+00:00,GEELY,GEOMETRY C 460 חשמלי,2022,40699,אוטומטי,לבן,103900,99900,-4000,price_changed
2025-11-27 11:56:26.901851+00:00,GEELY,GEOMETRY C 460 חשמלי,2022,44440,אוטומטי,לבן,103900,100900,-3000,price_changed
2025-11-27 11:56:26.901851+00:00,GEELY,GEOMETRY C 460 חשמלי,2022,48418,אוטומטי,לבן,99900,97900,-2000,price_changed
2025-11-27 11:56:26.901851+00:00,GEELY,GEOMETRY C 460 חשמלי,2022,64670,אוטומטי,כסף,94900,97900,3000,price_changed
2025-11-27 11:56:26.901851+00:00,GEELY,GEOMETRY C 460 חשמלי,2022,83058,אוטומטי,לבן,97900,93900,-4000,price_changed
2025-11-27 11:56:26.901851+00:00,סוזוקי,ויטארה GLX 1.3 HYBRID,2022,106454,אוטומטי,לבן,93900,91900,-2000,price_changed
2025-11-28 12:01:43.027759+00:00,BYD,ATTO3 COMFORT חשמלי,2024,46265,אוטומטי,אפור כהה,134900,115900,-19000,price_changed
2025-11-28 12:01:43.027759+00:00,BYD,ATTO3 COMFORT חשמלי,2024,47323,אוטומטי,אפור כהה,118900,115900,-3000,price_changed
2025-11-28 12:01:43.027759+00:00,BYD,COMFORT BYD DOLPHIN הצ'בק חשמל אוטומטי 0,2024,19978,אוטומטי,אפור,112900,104900,-8000,price_changed
2025-11-28 12:01:43.027759+00:00,קיה,סטוניק LX 1.0,2022,103283,אוטומטי,אפור כהה,76900,74900,-2000,price_changed
2025-11-28 12:01:43.027759+00:00,קיה,סלטוס URBAN 2.0,2022,96981,אוטומטי,לבן עם גג שחור,93900,90900,-3000,price_changed
2025-12-06 06:00:22.669789+00:00,BYD,ATTO3 COMFORT חשמלי,2024,35550,,אפור כהה,119900,118900,-1000,price_changed
2025-12-06 06:00:22.669789+00:00,GEELY,GEOMETRY C 460 חשמלי,2022,68673,אוטומטי,לבן,93900,92900,-1000,price_changed
2025-12-06 06:00:22.669789+00:00,טויוטה,קורולה SENSE 1.5,2022,207727,אוטומטי,לבן,67900,64900,-3000,price_changed
2025-12-06 06:00:22.669789+00:00,טויוטה,קורולה SENSE 1.5,2022,69921,אוטומטי,לבן,86900,81900,-5000,price_changed
2025-12-06 06:00:22.669789+00:00,טויוטה,קורולה SUN 1.8 היברידי,2024,28470,אוטומטי,לבן,127900,125900,-2000,price_changed
2025-12-06 06:00:22.669789+00:00,טויוטה,קורולה SUN 1.8 סדאן היברידי,2022,104316,אוטומטי,לבן,96900,91900,-5000,price_changed
2025-12-06 06:00:22.669789+00:00,טויוטה,קורולה SUN 1.8 סדאן היברידי,2022,105264,אוטומטי,כסף מטלי,98900,96900,-2000,price_changed
2025-12-06 06:00:22.669789+00:00,טויוטה,קורולה SUN 1.8 סדאן היברידי,2022,130994,אוטומטי,לבן,91900,90900,-1000,price_changed
2025-12-06 06:00:22.669789+00:00,טויוטה,קורולה SUN 1.8 סדאן היברידי,2022,57802,אוטומטי,שחור מטלי,99900,100900,1000,price_changed
2025-12-06 06:00:22.669789+00:00,טויוטה,קורולה SUN 1.8 סדאן היברידי,2022,79675,אוטומטי,שחור מטלי,103900,102900,-1000,price_changed
2025-12-06 06:00:22.669789+00:00,טויוטה,קורולה SUN 1.8 סדאן היברידי,2022,80552,אוטומטי,לבן,106900,104900,-2000,price_changed
2025-12-06 06:00:22.669789+00:00,טויוטה,קורולה SUN 1.8 סדאן היברידי,2022,93111,אוטומטי,שחור מטלי,100900,98900,-2000,price_changed
2025-12-06 06:00:22.669789+00:00,טויוטה,קורולה SUN 1.8 סדאן היברידי,2022,94789,אוטומטי,כסף מטלי,102900,101900,-1000,price_changed
2025-12-06 06:00:22.669789+00:00,יונדאי,איוניק 5 SUPREME חשמלי,2022,61912,אוטומטי,שחור,121900,119900,-2000,price_changed
2025-12-06 06:00:22.669789+00:00,יונדאי,איוניק 5 SUPREME חשמלי,2022,92422,אוטומטי,לבן,114900,112900,-2000,price_changed
2025-12-06 06:00:22.669789+00:00,יונדאי,איוניק PREMIUM FL 1.6 היברידי,2022,108945,אוטומטי,לבן,88900,89900,1000,price_changed
2025-12-06 06:00:22.669789+00:00,יונדאי,איוניק PREMIUM FL 1.6 היברידי,2022,149424,אוטומטי,שחור מטלי,88900,87900,-1000,price_changed
2025-12-06 06:00:22.669789+00:00,יונדאי,אלנטרה PREMIUM 1.6 היברידי,2023,114663,אוטומטי,לבן,101900,100900,-1000,price_changed
2025-12-06 06:00:22.669789+00:00,יונדאי,אלנטרה PREMIUM 1.6 היברידי,2023,95549,אוטומטי,שחור מטלי,106900,105900,-1000,price_changed
2025-12-06 06:00:22.669789+00:00,יונדאי,אלנטרה PREMIUM 1.6 היברידי,2022,66215,אוטומטי,כסף כהה,94900,96900,2000,price_changed
2025-12-06 06:00:22.669789+00:00,יונדאי,באיון PRIME PLUS 1.0,2023,70423,אוטומטי,כסף מטלי,87900,84900,-3000,price_changed
2025-12-06 06:00:22.669789+00:00,יונדאי,סונטה LIMITED 2.0 היברידי,2023,79895,אוטומטי,אפור מטלי,151900,144900,-7000,price_changed
2025-12-06 06:00:22.669789+00:00,יונדאי,סונטה PRESTIGE 2.0 היברידי,2023,79922,אוטומטי,אפור מטלי כהה,137900,127900,-10000,price_changed
2025-12-06 06:00:22.669789+00:00,יונדאי,סונטה PRESTIGE 2.0 היברידי,2022,79004,אוטומטי,אפור מטלי,128900,123900,-5000,price_changed
2025-12-06 06:00:22.669789+00:00,מזדה,3 COMFORT 2.O,2024,32279,אוטומטי,לבן,117900,116900,-1000,price_changed
2025-12-06 06:00:22.669789+00:00,מזדה,CX-5 EXECUTIVE 2.0,2023,80600,אוטומטי,לבן ארקטי,127900,123900,-4000,price_changed
2025-12-06 06:00:22.669789+00:00,מיצובישי,אאוטלנדר INSTYLE 2.5,2023,103194,אוטומטי,לבן,138900,139900,1000,price_changed
2025-12-06 06:00:22.669789+00:00,מיצובישי,אאוטלנדר PREMIUM 2.5,2023,102282,אוטומטי,אדום,142900,140900,-2000,price_changed
2025-12-06 06:00:22.669789+00:00,מיצובישי,אאוטלנדר PREMIUM 2.5,2023,118993,אוטומטי,כחול,142900,141900,-1000,price_changed
2025-12-06 06:00:22.669789+00:00,מיצובישי,אאוטלנדר PREMIUM 2.5,2022,109615,אוטומטי,כסף מטלי,134900,133900,-1000,price_changed
