scrape_timestamp,manufacturer,model,year,km,transmission,color,price_previous,price,price_change,status
2025-11-21 07:13:29.146949+00:00,יונדאי,i20 PRIME PLUS FL 1.0,2024,33758,,אפור בהיר,98900,,,removed
2025-11-21 07:13:29.146949+00:00,יונדאי,איוניק PREMIUM FL 1.6 היברידי,2021,81302,אוטומטי,לבן,95900,,,removed
2025-11-21 07:13:29.146949+00:00,יונדאי,אקסנט INSPIRE 1.6,2023,96256,אוטומטי,אפור מטלי,78900,,,removed
2025-11-21 07:13:29.146949+00:00,יונדאי,i10 PRIME 1.2,2022,65971,אוטומטי,כסף,55900,,,removed
2025-11-24 05:15:58.595049+00:00,מיצובישי,L200 INSTYLE 2.2 סולר תא כפול אוט',2022,33918,אוטומטי,לבן,146900,,,removed
2025-11-24 05:15:58.595049+00:00,וולבו,XC40 MOMENTUM T3 1.5,2022,73326,אוטומטי,שחור,118900,,,removed
2025-11-24 05:15:58.595049+00:00,קיה,ספורטאז' URBAN 2.0,2022,77222,אוטומטי,שחור,111900,,,removed
2025-11-24 05:15:58.595049+00:00,יונדאי,איוניק 5 SUPREME חשמלי,2022,100524,אוטומטי,לבן,109900,,,removed
2025-11-24 05:15:58.595049+00:00,קיה,ספורטאז' URBAN 2.0,2023,68489,אוטומטי,שחור,105900,,,removed
2025-11-24 05:15:58.595049+00:00,סקודה,אוקטביה AMBITION 1.5,2022,65740,אוטומטי,שחור מטלי,103900,,,removed
2025-11-24 05:15:58.595049+00:00,קיה,ספורטאז' URBAN 2.0,2022,104509,אוטומטי,לבן,103900,,,removed
2025-11-24 05:15:58.595049+00:00,קיה,ספורטאז' URBAN 2.0,2022,105310,אוטומטי,אפור כהה,103900,,,removed
2025-11-24 05:15:58.595049+00:00,טויוטה,קורולה SUN 1.8 סדאן היברידי,2022,99021,אוטומטי,לבן,100900,,,removed
2025-11-24 05:15:58.595049+00:00,טויוטה,קורולה SUN 1.8 סדאן היברידי,2022,90380,אוטומטי,כסוף כהה מטלי,99900,,,removed
2025-11-24 05:15:58.595049+00:00,יונדאי,אלנטרה PREMIUM 1.6,2023,95397,אוטומטי,לבן,94900,,,removed
2025-11-24 05:15:58.595049+00:00,מיצובישי,אקליפס קרוס INTENSE 1.5,2022,96300,אוטומטי,שחור,90900,,,removed
2025-11-24 05:15:58.595049+00:00,קיה,סלטוס URBAN 2.0,2022,50930,אוטומטי,לבן,88900,,,removed
2025-11-24 05:15:58.595049+00:00,סקודה,אוקטביה AMBITION 1.0,2022,86045,אוטומטי,אפור כהה,87900,,,removed
2025-11-24 05:15:58.595049+00:00,יונדאי,באיון PRIME PLUS 1.0,2022,32213,אוטומטי,לבן,85900,,,removed
2025-11-24 05:15:58.595049+00:00,גילי,GEOMETRY C 350 חשמלי,2022,86319,אוטומטי,כחול,84900,,,removed
2025-11-24 05:15:58.595049+00:00,קיה,נירו פלוס EV חשמלי,2023,103820,אוטומטי,אפור,82900,,,removed
2025-11-24 05:15:58.595049+00:00,יונדאי,i20 PRIME PLUS 1.0,2023,103960,אוטומטי,לבן,77900,,,removed
2025-11-24 05:15:58.595049+00:00,קיה,ספורטאז' URBAN 1.6,2022,119450,אוטומטי,לבן,75900,,,removed
2025-11-24 16:01:05.086187+00:00,מזדה,CX-5 EXECUTIVE 2.0,2023,80502,אוטומטי,לבן ארקטי,127900,,,removed
2025-11-24 16:01:05.086187+00:00,צ'רי,TIGGO 8 NOBEL PRO 1.6,2023,106010,אוטומטי,שחור מטלי,118900,,,removed
2025-11-24 16:01:05.086187+00:00,קיה,נירו LX 1.6 פלאג- אין,2022,64256,אוטומטי,אפור,115900,,,removed
2025-11-24 16:01:05.086187+00:00,יונדאי,טוסון PANORAMIC 1.6,2022,107240,אוטומטי,לבן,113900,,,removed
2025-11-24 16:01:05.086187+00:00,סקודה,אוקטביה AMBITION 1.5,2023,78102,אוטומטי,לבן,111900,,,removed
